Run,Sample,Layout
SRR1564821,NM-038,PE
SRR1564822,NM-039,PE
SRR1564823,NM-040,PE
SRR1564824,SM-395,PE
SRR1564825,SM-396,PE
SRR1564826,SM-397,PE
SRR1564827,SM-398,PE
SRR1564828,WM-052,PE
SRR1564829,WM-053,PE
SRR1564830,WM-054,PE
SRR1564831,WM-055,PE
SRR1564832,WM-056,PE
SRR1564833,WM-057,PE
SRR1564834,WM-058,PE
SRR1564835,WM-059,PE
SRR1564836,WM-060,PE
SRR1564837,WM-061,PE
SRR1613377,G3676-2,PE
SRR1613378,G3677-1,PE
SRR1613379,G3677-2,PE
SRR1613380,G3682-1,PE
SRR1613381,G3676-2,PE
SRR1613382,G3677-1,PE
SRR1613383,G3677-2,PE
SRR1613384,G3682-1,PE
SRR1734988,G5320.1,PE
SRR1734989,G4971.1,PE
SRR1734990,G3909.1,PE
SRR1734991,G4561.2,PE
SRR1734992,SLBOO0385.0,PE
SRR1734993,G5844.1,PE
SRR1734994,G5301.4,PE
SRR1734995,G3810.4,PE
SRR1734996,G5896.1,PE
SRR1734997,G5502.3,PE
SRR1734998,G5044.1,PE
SRR1734999,G4812.2,PE
SRR1735000,G4555.2,PE
SRR1735001,G5045.2,PE
SRR1735002,G5178.4,PE
SRR1735003,G4748.1,PE
SRR1735004,G4725.1,PE
SRR1735005,G5932.1,PE
SRR1735006,G5749.3,PE
SRR1735007,G4485.2,PE
SRR1735008,G5577.1,PE
SRR1735009,G6068.1,PE
SRR1735010,G3906.1,PE
SRR1735011,G5107.1,PE
SRR1735012,G3855.2,PE
SRR1735013,G3910.1,PE
SRR1735014,G5305.1,PE
SRR1735015,SLBOO0373.0,PE
SRR1735016,G6094.1,PE
SRR1735017,G3884.1,PE
SRR1735018,G5613.1,PE
SRR1735019,G5982.1,PE
SRR1735020,G4496.5,PE
SRR1735021,SLBO0370.0,PE
SRR1735022,G4937.1,PE
SRR1735023,G5898.1,PE
SRR1735024,G5434.2,PE
SRR1735025,G5296.1,PE
SRR1735026,G4724.1,PE
SRR1735027,G3911.1,PE
SRR1735028,G5528.1,PE
SRR1735029,G4994.1,PE
SRR1735030,G5021.1,PE
SRR1735031,G3937.1,PE
SRR1735032,G5012.3,PE
SRR1735033,G3862.2,PE
SRR1735034,G5735.1,PE
SRR1735035,G5114.1,PE
SRR1735036,G4856.1,PE
SRR1735037,G4990.3,PE
SRR1735038,G4717.1,PE
SRR1735039,G5529.1,PE
SRR1735040,G6089.1,PE
SRR1735041,G4683.1,PE
SRR1735042,G4715.3,PE
SRR1735043,G4727.1,PE
SRR1735044,G3893.1,PE
SRR1735045,G4886.1,PE
SRR1735046,G3789.3,PE
SRR1735047,G5985.1,PE
SRR1735048,SLKEN0016.0,PE
SRR1735049,G4753.2,PE
SRR1735050,G3811.2,PE
SRR1735051,G6050.1,PE
SRR1735052,G4225.5,PE
SRR1735053,G5371.1,PE
SRR1735054,G3908.1,PE
SRR1735055,G5627.1,PE
SRR1735056,G5948.1,PE
SRR1735057,G5846.1,PE
SRR1735058,G3845.2,PE
SRR1735059,G5796.1,PE
SRR1735060,G6091.1,PE
SRR1735061,G4858.1,PE
SRR1735062,G5950.1,PE
SRR1735063,SLBOO0368.0,PE
SRR1735064,G4996.1,PE
SRR1735065,G4896.1,PE
SRR1735066,G5988.1,PE
SRR1735067,G5212.1,PE
SRR1735068,MSF380.0,PE
SRR1735069,G5021.4,PE
SRR1735070,G5112.1,PE
SRR1735071,G5640.1,PE
SRR1735072,G5853.1,PE
SRR1735073,G5115.1,PE
SRR1735074,G4983.1,PE
SRR1735075,G6012.1,PE
SRR1735076,G5221.1,PE
SRR1735077,G4946.1,PE
SRR1735078,G5012.2,PE
SRR1735079,G6062.1,PE
